faction_relationships	romans_julii,	600		slave
faction_relationships	cantiaci,		600		slave
faction_relationships	cappadocia,		600		slave
faction_relationships	carni,			600		slave
faction_relationships	carnutes,		600		slave
faction_relationships	carpetani,		600		slave
faction_relationships	catuvellauni,	600		slave
faction_relationships	cavari,			600		slave
faction_relationships	celtici,		600		slave
faction_relationships	cenomanni,		600		slave
faction_relationships	cessetani,		600		slave
faction_relationships	chamavi,		600		slave
faction_relationships	chauci,			600		slave
faction_relationships	chera,			600		slave
faction_relationships	cherusci,		600		slave
faction_relationships	chorasmia,		600		slave
faction_relationships	cimbri,			600		slave
faction_relationships	corieltauvi,	600		slave
faction_relationships	corinth,		600		slave
faction_relationships	corsi,			600		slave
faction_relationships	italiotes,		600		slave
faction_relationships	cyprus,			600		slave
faction_relationships	cyrene,			600		slave
faction_relationships	daesitiates,	600		slave
faction_relationships	dahae,			600		slave
faction_relationships	daorsi,			600		slave
faction_relationships	dardania,		600		slave
faction_relationships	daunians,		600		slave
faction_relationships	delmatae,		600		slave
faction_relationships	demetae,		600		slave
faction_relationships	dumnonii,		600		slave
faction_relationships	eblani,			600		slave
faction_relationships	eburones,		600		slave
faction_relationships	edetani,		600		slave
faction_relationships	elis,			600		slave
faction_relationships	elusates,		600		slave
faction_relationships	emporion,		600		slave
faction_relationships	eravisci,		600		slave
faction_relationships	fosi,			600		slave
faction_relationships	frisii,			600		slave
faction_relationships	gaetuli,		600		slave
faction_relationships	gallaeci,		600		slave
faction_relationships	garamantes,		600		slave
faction_relationships	gerrha,			600		slave
faction_relationships	gortyn,			600		slave
faction_relationships	hadhramaut,		600		slave
faction_relationships	harii,			600		slave
faction_relationships	helisii,		600		slave
faction_relationships	helveconae,		600		slave
faction_relationships	helvetii,		600		slave
faction_relationships	heraclea,		600		slave
faction_relationships	hermunduri,		600		slave
faction_relationships	heruli,			600		slave
faction_relationships	histri,			600		slave
faction_relationships	iazyges,		600		slave
faction_relationships	iberia,			600		slave
faction_relationships	ilercavones,	600		slave
faction_relationships	ilergetes,		600		slave
faction_relationships	illyria,		600		slave
faction_relationships	india,			600		slave
faction_relationships	insubres,		600		slave
faction_relationships	iolei,			600		slave
faction_relationships	juti,			600		slave
faction_relationships	knossos,		600		slave
faction_relationships	kydonia,		600		slave
faction_relationships	lemovices,		600		slave
faction_relationships	leponti,		600		slave
faction_relationships	lexovii,		600		slave
faction_relationships	libya,			600		slave
faction_relationships	ligures,		600		slave
faction_relationships	lihyan,			600		slave
faction_relationships	lingones,		600		slave
faction_relationships	lucani,			600		slave
faction_relationships	mamertines,		600		slave
faction_relationships	mandubii,		600		slave
faction_relationships	mascat,			600		slave
faction_relationships	massylii,		600		slave
faction_relationships	mauri,			600		slave
faction_relationships	mediomatrici,	600		slave
faction_relationships	melos,			600		slave
faction_relationships	messapians,		600		slave
faction_relationships	messene,		600		slave
faction_relationships	minaea,			600		slave
faction_relationships	morini,			600		slave
faction_relationships	nahanarvali,	600		slave
faction_relationships	namnetes,		600		slave
faction_relationships	nasamones,		600		slave
faction_relationships	neapolis,		600		slave
faction_relationships	nemetes,		600		slave
faction_relationships	nori,			600		slave
faction_relationships	oretani,		600		slave
faction_relationships	osismii,		600		slave
faction_relationships	paeligni,		600		slave
faction_relationships	paeonia,		600		slave
faction_relationships	palmyra,		600		slave
faction_relationships	pandya,			600		slave
faction_relationships	paphlagonia,	600		slave
faction_relationships	parisii,		600		slave
faction_relationships	peucitans,		600		slave
faction_relationships	picentes,		600		slave
faction_relationships	pictones,		600		slave
faction_relationships	qataban,		600		slave
faction_relationships	qedar,			600		slave
faction_relationships	quadi,			600		slave
faction_relationships	raeti,			600		slave
faction_relationships	redones,		600		slave
faction_relationships	remi,			600		slave
faction_relationships	rhodes,			600		slave
faction_relationships	rugii,			600		slave
faction_relationships	ruteni,			600		slave
faction_relationships	sabines,		600		slave
faction_relationships	saka,			600		slave
faction_relationships	samnites,		600		slave
faction_relationships	santones,		600		slave
faction_relationships	scordisci,		600		slave
faction_relationships	segusiavi,		600		slave
faction_relationships	senones,		600		slave
faction_relationships	sequani,		600		slave
faction_relationships	sinope,			600		slave
faction_relationships	siraces,		600		slave
faction_relationships	suessiones,		600		slave
faction_relationships	sugambri,		600		slave
faction_relationships	suiones,		600		slave
faction_relationships	taras,			600		slave
faction_relationships	tarbelli,		600		slave
faction_relationships	taurini,		600		slave
faction_relationships	tencteri,		600		slave
faction_relationships	thessaly,		600		slave
faction_relationships	thyssagetae,	600		slave
faction_relationships	treverii,		600		slave
faction_relationships	triballi,		600		slave
faction_relationships	turdetani,		600		slave
faction_relationships	turones,		600		slave
faction_relationships	ubii,			600		slave
faction_relationships	umbri,			600		slave
faction_relationships	unelli,			600		slave
faction_relationships	vaccaei,		600		slave
faction_relationships	vangiones,		600		slave
faction_relationships	varini,			600		slave
faction_relationships	vascones,		600		slave
faction_relationships	venedi,			600		slave
faction_relationships	veneti_gaul,	600		slave
faction_relationships	vettones,		600		slave
faction_relationships	vindelici,		600		slave
faction_relationships	vivisci,		600		slave
faction_relationships	vocontii,		600		slave
faction_relationships	volcae,			600		slave
faction_relationships	volsci,			600		slave
faction_relationships	bessi,			600		slave
faction_relationships	caeni,			600		slave
faction_relationships	krobyzi,		600		slave
faction_relationships	biephi,			600		slave
faction_relationships	buridenses,		600		slave
faction_relationships	thamud,			600		slave
faction_relationships	ay,				600		slave
faction_relationships	athiyaman,		600		slave
faction_relationships	kalinga,		600		slave
faction_relationships	ferghana,		600		slave
faction_relationships	kashgar,		600		slave
faction_relationships	kucha,			600		slave
